"Anschlussgebühren und monatliche Grundgebühren (einschl. der Miete von entsprechenden Geräten), nationale Gespräche (drahtgebunden)";"0831 001"
"Anschreibungen beim Lieferanten für private Warenlieferungen, Einnahmen aus Krediten für die allgemeine Lebensführung";"0085 600"
"Anschreibungen beim Lieferanten für private Warenlieferungen, Tilgung (ohne Tilgung von zinslosen Raten- und Konsumentenkrediten)";"1652 200"
"Anschreibungen beim Lieferanten für private Warenlieferungen, Tilgung von zinslosen Raten- und Konsumentenkrediten";"1652 300"
"Anschreibungen beim Lieferanten für private Warenlieferungen, Verzinsung";"1652 500"
"Ansichtskarten";"0973 001"
"Ansteckblumen, Kunstblumen (ohne Papierblumen)";"0313 209"
"Ansteckplaketten";"0973 004"
"Ansteckschmuck aus Edelmetall, echten Perlen, Edel- oder Schmucksteinen";"1321 112"
"Ansteckschmuck aus unedlem Metall, Kunststoff, Glas u.ä.";"1321 111"
"Anstrichfarben für Schönheitsreparaturen, auf Kosten der Wohnungsinhaberinnen und Wohnungsinhaber";"0431 101"
"Anteile an Windkraftanlagen, Kauf von";"1685 700"
"Anteile einer Baugenossenschaft, Kauf (ohne vermögenswirksame Leistungen)";"1683 100"
"Anteile einer Baugenossenschaft, Kauf von vermögenswirksame Leistungen";"1683 900"
"Anteile einer Baugenossenschaft, Verkauf";"0071 300"
"Anteile einer GmbH oder Genossenschaft (nicht Baugenossenschaft), Kauf";"1685 700"
"Anteile einer GmbH oder Genossenschaft (nicht Baugenossenschaft), Verkauf";"0071 420"
"Antennenanlagen für Fernsehempfangsgeräte";"0814 025"
"Antennenanlagen für Rundfunkempfangsgeräte (ohne kombinierte Rundfunk-Fernsehempfangsantennen)";"0814 017"
"Antennen für Fernsehempfangsgeräte (einschl. SAT-Anlagen und kombinierte TV-/Rundfunkempfangsantennen)";"0814 025"
"Antennen für Funkgeräte";"0814 017"
"Antennen für Rundfunkempfangs- und Funkgeräte (ohne kombinierte Rundfunk-Fernsehempfangsantennen)";"0814 017"
"Anthraziteierkohle";"0454 100"
"Antibabypille";"0611 120"
"Antibeschlagmittel für Kraftfahrzeuge";"0721 307"
"Antibiotika";"0611 120"
"Antipasti, auf Gemüsebasis";"0117 929"
"Antirutschmatte aus textilem Material";"0511 406"
"Anti-Transpirationsmittel";"1312 240"
"Anwohnerparken, Gebühren für";"0724 105"
"Anzeigen, Zeitungsinserate";"1390 906"
"Anziehhilfen für Strümpfe";"0613 306"
"Anzüge für Herren (ohne Sportbekleidung)";"0312 122"
"Anzüge für Jungen (ohne Sportbekleidung), Faschingskostüme";"0921 207"
"Anzüge für Jungen (ohne Sportbekleidung)";"0312 187"
"Anzüge für Säuglinge";"0312 308"
"Anzugstoffe für Herren und Jungen, Meterware";"0311 000"
"Anzünder für Kohlen- und/oder Ölöfen";"0561 909"
"Aperitife, auf der Grundlage von Wein, Verzehr in Kantinen, Mensen (ohne von Hochschulen, Schulen und Kindergärten)";"1112 900"
"Aperitife, auf der Grundlage von Wein, Verzehr in Kantinen, Mensen von Hochschulen, Schulen und Kindergärten";"1112 100"
"Aperitife, auf der Grundlage von Wein, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 143"
"Aperitife, auf der Grundlage von Wein";"0212 165"
"Aperitife, nicht auf Wein basierend, Verzehr in Kantinen, Mensen (ohne von Hochschulen, Schulen und Kindergärten)";"1112 900"
"Aperitife, nicht auf Wein basierend, Verzehr in Kantinen, Mensen von Hochschulen, Schulen und Kindergärten";"1112 100"
"Aperitife, nicht auf Wein basierend, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 141"
"Aperitifweine, Likörweine, Verzehr in Kantinen, Mensen (ohne von Hochschulen, Schulen und Kindergärten)";"1112 900"
"Aperitifweine, Likörweine, Verzehr in Kantinen, Mensen von Hochschulen, Schulen und Kindergärten";"1112 100"
"Aperitifweine, Likörweine, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 143"
"Aperol, weinhaltiges Mischgetränk";"0212 165"
"Äpfel, frisch oder gekühlt";"0116 301"
"Äpfel, getrocknet";"0116 700"
"Apfelgehölze";"0931 215"
"Apfelkonserven";"0116 904"
"Apfelmost, vergoren";"0212 210"
"Apfelmost, Verzehr in Kantinen, Mensen (ohne von Hochschulen, Schulen und Kindergärten";"1112 900"
"Apfelmost, Verzehr in Kantinen, Mensen von Hochschulen, Schulen und Kindergärten";"1112 100"
"Apfelmost, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 153"
"Apfelmus, Konserven";"0116 904"
"Apfelnektar";"0121 001"
"Apfelsaft, Verzehr in Kantinen, Mensen (ohne von Hochschulen, Schulen und Kindergärten)";"1112 900"
"Apfelsaft, Verzehr in Kantinen, Mensen von Hochschulen, Schulen und Kindergärten";"1112 100"
"Apfelsaft, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 153"
"Apfelsaft";"0121 001"
"Apfelsinen, frisch oder gekühlt";"0116 201"
"Apfeltee";"0123 003"
